technique,qid,question,rank,store_score,cosine_sim,chunk_len,source,in_expected_source,latency_ms,preview
token,q1,Who were the champions of the 2023-24 Premier League?,1,0.6328,0.6258,1013,data/corpus/2023_24_premier_league.txt,True,48.48,were the first team to have been promoted from non-League (5th tier or lower within the English football league pyramid) to the top flight during the Premier Le
token,q1,Who were the champions of the 2023-24 Premier League?,2,0.6153,0.6079,956,data/corpus/2023_24_premier_league.txt,True,48.48,"""When does the 2023/24 Premier League season start? Key dates, transfer window, winter break and more"". Sky Sports. London. Retrieved 28 February 2024. ^ Hytner"
token,q1,Who were the champions of the 2023-24 Premier League?,3,0.6128,0.6244,865,data/corpus/2023_24_premier_league.txt,True,48.48,Seasons Awards Hall of Fame | Finances | Richest clubs: Deloitte list Forbes list Team owners Transfer records Game 39 Premier League–Football League gulf Parac
token,q1,Who were the champions of the 2023-24 Premier League?,4,0.6088,0.5796,866,data/corpus/2023_24_premier_league.txt,True,48.48,"Football season in England For other uses, see 2023–24 Premier League (disambiguation). Football league season Premier League | Season | 2023–24 | Dates | 11 Au"
token,q1,Who were the champions of the 2023-24 Premier League?,5,0.5857,0.6208,697,data/corpus/2023_24_premier_league.txt,True,48.48,September 2023 | Erling Haaland | Manchester City | Fulham | 5–1 (H) | Evan Ferguson | Brighton & Hove Albion | Newcastle United | 3–1 (H) | Ollie Watkins | Ast
token,q2,Which club won the 2023-24 La Liga title?,1,0.7149,0.7124,832,data/corpus/2023_24_la_liga.txt,True,37.35,"2022–23 2024–25 → The 2023–24 La Liga, also known as LaLiga EA Sports due to sponsorship reasons, was the 93rd season of La Liga, Spain's premier football compe"
token,q2,Which club won the 2023-24 La Liga title?,2,0.6539,0.6682,769,data/corpus/2023_24_la_liga.txt,True,37.35,"""OFFICIAL: LaLiga defines the start and end dates for the 2023/22 season"". 22 February 2023. ^ ""Spanish LALIGA Performance Stats, 2023-24 Season"". ESPN. Retriev"
token,q2,Which club won the 2023-24 La Liga title?,3,0.64,0.6273,795,data/corpus/2023_24_la_liga.txt,True,37.35,"Retrieved 2024-06-25. ^ Menzies, John (2023-05-28). ""Granada and Las Palmas secure LaLiga promotion, four teams to fight it out in the play-offs"". Football Espa"
token,q2,Which club won the 2023-24 La Liga title?,4,0.638,0.6117,912,data/corpus/2023_24_la_liga.txt,True,37.35,1) Points; 2) Head-to-head points; 3) Head-to-head goal difference; 4) Goal difference; 5) Goals scored; 6) Fair-play points (Note: Head-to-head record is used 
token,q2,Which club won the 2023-24 La Liga title?,5,0.6255,0.6421,689,data/corpus/2023_24_la_liga.txt,True,37.35,"y EA SPORTS desvelan los 15 mejores jugadores de la temporada"". LALIGA. 17 May 2024. Retrieved 22 August 2026. ^ https://www.european-football-statistics.co.uk/"
token,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,1,0.594,0.2053,349,data/corpus/2023_24_efl_championship.txt,True,36.37,1914–15 1915–16 1916–17 1917–18 1918–19 1919–20 1920–21 1921–22 1922–23 1923–24 1924–25 1925–26 1926–27 1927–28 1928–29 1929–30 1930–31 1931–32 1932–33 1933–34 
token,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,2,0.5842,0.5263,271,data/corpus/2023_24_efl_championship.txt,True,36.37,1982–83 1983–84 1984–85 1985–86 1986–87 1987–88 1988–89 1989–90 1990–91 1991–92 | Football League First Division | 1992–93 1993–94 1994–95 1995–96 1996–97 1997–
token,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,3,0.5675,0.5366,869,data/corpus/2023_24_efl_championship.txt,True,36.37,(23 September 2023) Southampton 5–3 Huddersfield Town (10 February 2024) | Longest winning run | Leeds United Leicester City (9 games) | Longest unbeaten run | 
token,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,4,0.5651,0.2919,349,data/corpus/2023_24_efl_championship.txt,True,36.37,1948–49 1949–50 1950–51 1951–52 1952–53 1953–54 1954–55 1955–56 1956–57 1957–58 1958–59 1959–60 1960–61 1961–62 1962–63 1963–64 1964–65 1965–66 1966–67 1967–68 
